1000	251607
2000	1019026
3000	2268032
4000	4002131
5000	6260061
6000	9150853
7000	12186867
8000	15783918
9000	20165510
10000	24888857
11000	30199000
12000	36220729
13000	42296972
14000	49056986
15000	55907715
16000	63894631
17000	72381792
18000	80952246
19000	90329547
20000	100082248
21000	109987026
22000	120284305
23000	132243300
24000	143414966
25000	156361301
